date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
12/24/2017,2017,0,0,DAL,SEA,1564.136553,1554.369666,0.605967461,12,21,0
12/25/2017,2017,0,0,HOU,PIT,1378.495026,1648.582004,0.234948728,6,34,0
12/25/2017,2017,0,0,PHI,OAK,1672.671385,1468.842167,0.824553139,19,10,1
12/31/2017,2017,0,0,NYG,WSH,1336.996956,1482.772876,0.385804249,18,10,1
12/31/2017,2017,0,0,PHI,DAL,1679.871227,1535.248978,0.769711459,0,6,0
12/31/2017,2017,0,0,PIT,CLE,1663.055594,1201.561463,0.953943865,28,24,1
12/31/2017,2017,0,0,IND,HOU,1337.740217,1364.021436,0.555491274,22,13,1
12/31/2017,2017,0,0,MIN,CHI,1660.89179,1420.093644,0.853249187,23,10,1
12/31/2017,2017,0,0,DET,GB,1510.414119,1477.428056,0.637389833,35,11,1
12/31/2017,2017,0,0,NE,NYJ,1732.224433,1400.997738,0.907279772,26,6,1
12/31/2017,2017,0,0,TB,NO,1418.689627,1657.739275,0.268565996,31,24,1
12/31/2017,2017,0,0,ATL,CAR,1618.37336,1603.691093,0.612702887,22,10,1
12/31/2017,2017,0,0,BAL,CIN,1577.853428,1431.97461,0.770991117,27,31,0
12/31/2017,2017,0,0,MIA,BUF,1442.425111,1497.289326,0.514582432,16,22,0
12/31/2017,2017,0,0,TEN,JAX,1470.135606,1533.307148,0.502631339,15,10,1
12/31/2017,2017,0,0,DEN,KC,1432.03587,1606.061627,0.348054316,24,27,0
12/31/2017,2017,0,0,LAC,OAK,1548.084489,1461.642325,0.705114108,30,10,1
12/31/2017,2017,0,0,LAR,SF,1629.563924,1390.602024,0.851920681,13,34,0
12/31/2017,2017,0,0,SEA,ARI,1583.257242,1453.29361,0.754415257,24,26,0
1/6/2018,2017,0,1,KC,TEN,1615.25609,1487.944106,0.751576261,21,22,0
1/6/2018,2017,0,1,LAR,ATL,1568.454281,1637.546861,0.494110577,13,26,0
1/7/2018,2017,0,1,JAX,BUF,1515.498649,1517.408642,0.589808859,10,3,1
1/7/2018,2017,0,1,NO,CAR,1624.706449,1584.517593,0.646917202,31,26,1
1/13/2018,2017,0,1,PHI,ATL,1646.760562,1663.578159,0.568898925,15,10,1
1/13/2018,2017,0,1,NE,TEN,1737.008571,1499.361184,0.850963552,35,14,1
1/14/2018,2017,0,1,PIT,JAX,1664.25181,1532.08244,0.756760106,42,45,0
1/14/2018,2017,0,1,MIN,NO,1667.692214,1636.781874,0.634623666,29,24,1
1/21/2018,2017,0,1,NE,JAX,1745.107927,1555.129851,0.812718473,24,20,1
1/21/2018,2017,0,1,PHI,MIN,1661.878061,1680.238577,0.566719328,38,7,1
2/4/2018,2017,1,1,NE,PHI,1750.510171,1691.287319,0.584412562,33,41,0
